Order Number,CustomerID,Sales Channel,Order Date,Order Shipping Country,Order Items Gross,Order Shipping Gross GBP,Order Gross Total GBP,Order Net Total GBP,Order Status,Order Shipping Service,Order Discount Code
#0001449,3607,Gymshark USA Shopify Store,06/02/2017,United States,105.75,0,105.75,105.75,fulfilled,Standard (7-14 Working Days),
#0008367,3607,Gymshark USA Shopify Store,20/02/2017,United States,144.2,0,144.2,144.2,fulfilled,Express (1-2 Working Days),
#0008053,3607,Gymshark USA Shopify Store,09/03/2017,United States,47.03,12.16,59.19,59.19,fulfilled,Express (1-2 Working Days),
#0009522,3607,Gymshark USA Shopify Store,03/04/2017,United States,63.4,11.89,75.28,75.28,fulfilled,Express (1-2 Working Days),
#0008853,3607,Gymshark USA Shopify Store,11/04/2017,United States,55.47,11.89,67.36,67.36,fulfilled,Express (1-2 Working Days),
#0009093,3607,Gymshark USA Shopify Store,16/04/2017,United States,55.47,11.89,67.36,67.36,fulfilled,Express (1-2 Working Days),
#0010690,3607,Gymshark USA Shopify Store,23/04/2017,United States,52.3,11.89,64.19,64.19,fulfilled,Express (1-2 Working Days),
#0005610,9856,Gymshark UK Shopify Store,01/02/2018,United Kingdom,176,0,176,146.66,Billed,Standard (3-5 Working Days),
#0013026,9856,Gymshark UK Shopify Store,26/04/2018,United Kingdom,50,0,50,41.66,Billed,Standard (3-5 Working Days),
#0012417,9856,Gymshark UK Shopify Store,26/04/2018,United Kingdom,82,0,82,68.33,Billed,Standard (3-5 Working Days),
#0002599,9856,Gymshark UK Shopify Store,24/01/2019,United Kingdom,65,0,65,54.16,Billed,Next Working Day,
#0012800,9857,Gymshark UK Shopify Store,14/02/2017,United Kingdom,17.64,6,23.64,19.7,fulfilled,Express Next Day,GSFIT10
#0009835,9857,Gymshark UK Shopify Store,13/04/2017,United Kingdom,38,0,38,31.67,fulfilled,Standard (3-5 Working Days),SAVEFIVE
#0002377,9858,Gymshark USA Shopify Store,01/06/2018,United States,34.69,11.31,46,46,Billed,Failed Shipment Mapping,
#0012671,9859,Gymshark DE Shopify Store,19/11/2018,Germany,15.99,4.44,20.43,17.17,Billed,Standard (2-3 Working Days),
#0014177,9860,Gymshark USA Shopify Store,11/12/2018,United States,43.74,3.98,47.72,47.72,Billed,Standard (4-7 Working Days),
#0010024,9861,Gymshark USA Shopify Store,19/04/2019,United States,34.62,3.85,38.47,38.47,Billed,Standard (4-7 Working Days),AFUSSB10-7VWMMU
#0004745,9863,Gymshark CAN Shopify Store,28/11/2018,Canada,47.08,2.94,50.02,50.02,Billed,Standard (5-10 Working Days),
#0002294,9866,Gymshark CAN Shopify Store,19/11/2018,Canada,42.63,2.96,45.59,45.59,Billed,Standard (5-10 Working Days),
#0000208,9868,Gymshark UK Shopify Store,16/02/2019,United Kingdom,115,0,115,95.83,Billed,Next Working Day,
#0009759,9870,Gymshark UK Shopify Store,08/08/2017,United Kingdom,38,0,38,31.67,fulfilled,Standard (3-5 Working Days),
#0010553,9871,Gymshark UK Shopify Store,15/11/2018,United Kingdom,55,0,55,45.84,Billed,Next Working Day,
#0005408,9874,Gymshark EU Shopify Store,23/11/2017,Ireland,77.27,0,77.27,62.82,Billed,Standard (7-14 Working Days),
#0008430,9875,Gymshark USA Shopify Store,27/11/2017,Canada,22.82,7.51,30.33,30.33,Billed,Standard (7-14 Working Days),
#0006013,9876,Gymshark IE Shopify Store,27/11/2018,Ireland,48.64,0,48.64,39.55,Billed,Standard (2-3 Working Days),
#0013939,9877,Gymshark USA Shopify Store,28/12/2017,Canada,43.21,7.45,50.66,50.66,Billed,Standard (7-14 Working Days),
#0004653,9877,Gymshark USA Shopify Store,02/07/2018,Canada,66.94,0,66.94,66.94,Billed,Standard (7-14 Working Days),
#0008865,9877,Gymshark CAN Shopify Store,17/05/2019,Canada,31.94,2.9,34.84,34.84,Billed,Standard (5-10 Working Days),
#0003944,9878,Gymshark USA Shopify Store,03/07/2018,United States,60.61,0,60.61,60.61,Billed,Standard (7-14 Working Days),
#0009640,9879,Gymshark USA Shopify Store,25/04/2017,United States,28.61,7.92,36.53,36.53,fulfilled,Standard (7-14 Working Days),SAVEFIVE
#0001747,9880,Gymshark UK Shopify Store,12/09/2018,United Kingdom,35.5,0,35.5,29.59,Billed,Standard (2 Working Days),
#0000652,9881,Gymshark FRA Shopify Store,22/04/2018,France,73.37,0,73.37,61.14,Billed,Standard (3-5 Working Days),STUDENTBEANS-S573S9C5
#0013154,9881,Gymshark FRA Shopify Store,19/11/2018,France,58.03,0,58.03,48.36,Billed,Standard (2-3 Working Days),
#0007145,9885,Gymshark USA Shopify Store,30/07/2017,United States,53.07,7.69,60.76,60.76,fulfilled,Standard (7-14 Working Days),SPEND65
#0004571,9888,Gymshark UK Shopify Store,13/12/2017,United Kingdom,20,4,24,20,Billed,Standard (3-5 Working Days),
#0011824,9888,Gymshark UK Shopify Store,06/01/2018,United Kingdom,80,0,80,66.66,Billed,Standard (3-5 Working Days),
#0006793,9888,Gymshark UK Shopify Store,14/01/2018,United Kingdom,8,6,14,11.67,Billed,Next Working Day,
#0002532,9888,Gymshark UK Shopify Store,15/04/2018,United Kingdom,35,4,39,32.5,Billed,Standard (3-5 Working Days),
#0004985,9888,Gymshark UK Shopify Store,11/09/2018,United Kingdom,114,0,114,95.01,Billed,Next Working Day,
#0013063,9889,Gymshark USA Shopify Store,26/03/2018,United States,58.45,0,58.45,58.45,Billed,Standard (7-14 Working Days),SBUS10-FA3TN8
#0009099,9890,Gymshark UK Shopify Store,27/12/2018,United Kingdom,35,0,35,29.17,Billed,Standard (2 Working Days),
#0008490,9891,Gymshark UK Shopify Store,16/11/2018,United Kingdom,20,4,24,20,Billed,Standard (2 Working Days),
#0008038,9892,Gymshark UK Shopify Store,29/08/2018,United Kingdom,57.5,0,57.5,47.91,Billed,Standard (2 Working Days),
#0006514,9894,Gymshark USA Shopify Store,19/11/2018,United States,85.34,0,85.34,85.34,Billed,Standard (4-7 Working Days),AFSBUS10-VH3U5C
#0010649,9895,Gymshark USA Shopify Store,29/11/2016,United States,38.61,8.04,46.65,46.65,fulfilled,Standard (7-14 Working Days),
#0006518,9896,Gymshark UK Shopify Store,01/11/2018,United Kingdom,34,4,38,31.66,Billed,Standard (2 Working Days),
#0009636,9901,Gymshark EU Shopify Store,13/01/2018,Ireland,49.7,7.99,57.69,46.91,Billed,Standard (7-14 Working Days),
#0008592,9903,Gymshark FIN Shopify Store,14/01/2019,Finland,72.33,0,72.33,58.33,Billed,Standard (4-7 Working Days),AFFINCGSG
#0002335,9905,Gymshark USA Shopify Store,14/02/2018,Canada,33.22,10.83,44.05,44.05,Billed,Failed Shipment Mapping,
#0005480,9908,Gymshark UK Shopify Store,27/12/2018,United Kingdom,36,0,36,30,Billed,Standard (2 Working Days),AFSBUK10-GCDQCQ
#0006503,9909,Gymshark UK Shopify Store,12/12/2018,United Kingdom,18,4,22,18.33,Billed,Standard (2 Working Days),
#0002710,9910,Gymshark EU Shopify Store,16/12/2017,Italy,21.17,7.94,29.11,23.86,Billed,Standard (3-5 Working Days),
#0005482,9912,Gymshark USA Shopify Store,28/08/2018,United States,28,11.67,39.67,39.67,Billed,Failed Shipment Mapping,
#0014279,9916,Gymshark EU Shopify Store,07/07/2018,Iceland,78.31,0,78.31,78.31,Billed,Standard (3-5 Working Days),
#0003793,9916,Gymshark EU Shopify Store,19/11/2018,Iceland,71.8,0,71.8,71.8,Billed,Standard (3-5 Working Days),
#0013242,9918,Gymshark DE Shopify Store,13/05/2018,Germany,176.4,0,176.4,148.24,Billed,Standard (3-5 Working Days),
#0007979,9921,Gymshark DE Shopify Store,30/06/2017,Germany,88.05,0,88.05,74,fulfilled,Standard (3-5 Working Days),
#0001336,9924,Gymshark UK Shopify Store,21/11/2018,United Kingdom,20.4,4,24.4,20.33,Billed,Standard (2 Working Days),
#0000303,9925,Gymshark USA Shopify Store,03/04/2017,United States,65.62,0,65.62,65.62,fulfilled,Standard (7-14 Working Days),USWELCOME-BC93S42D
#0001326,9925,Gymshark USA Shopify Store,19/05/2017,United States,74.63,0,74.63,74.63,fulfilled,Standard (7-14 Working Days),SPEND75
#0001244,9925,Gymshark USA Shopify Store,09/06/2017,United States,0,0,0,0,partial,Standard (7-14 Working Days),CUSTOM DISCOUNT
#0001396,9929,Gymshark USA Shopify Store,26/09/2018,United States,31.01,3.79,34.8,34.8,Billed,Standard (4-7 Working Days),SBSEPT10-4NYV4V
#0000714,9930,Gymshark USA Shopify Store,09/10/2018,United States,21.38,11.46,32.84,32.84,Billed,Express (1-3 Working Days),
#0000264,9933,Gymshark UK Shopify Store,01/01/2018,United Kingdom,0,0,0,0,Closed,Failed Shipment Mapping,SAVE25
#0007537,9934,Gymshark USA Shopify Store,02/07/2018,United States,64.66,0,64.66,64.66,Billed,Standard (7-14 Working Days),
#0001610,9935,Gymshark USA Shopify Store,02/04/2019,United States,34.43,3.83,38.26,38.26,Billed,Standard (4-7 Working Days),
#0012161,9937,Gymshark USA Shopify Store,20/11/2018,United States,19.44,3.89,23.33,23.33,Billed,Standard (4-7 Working Days),
#0006790,9938,Gymshark EU Shopify Store,14/11/2018,Malta,142.49,0,142.49,118.74,Billed,Standard (3-5 Working Days),
#0010353,9938,Gymshark EU Shopify Store,29/11/2018,Malta,92.22,0,92.22,76.84,Billed,Standard (3-5 Working Days),
#0007896,9943,Gymshark USA Shopify Store,19/03/2018,United States,47.58,7.19,54.77,54.77,Billed,Standard (7-14 Working Days),
#0010067,9943,Gymshark USA Shopify Store,12/12/2018,United States,87.14,0,87.14,87.14,Billed,Standard (4-7 Working Days),AFNCUS
#0013730,9944,Gymshark USA Shopify Store,17/03/2018,United States,10.76,7.17,17.93,17.93,Billed,Standard (7-14 Working Days),
#0004137,9944,Gymshark USA Shopify Store,02/06/2018,United States,40.45,7.49,47.94,47.94,Billed,Standard (7-14 Working Days),
#0009798,9944,Gymshark USA Shopify Store,12/06/2018,United States,17.9,7.46,25.36,25.36,Billed,Standard (7-14 Working Days),
#0010159,9944,Gymshark USA Shopify Store,09/12/2018,United States,34.56,3.93,38.49,38.49,Billed,Standard (4-7 Working Days),
#0008155,9945,Gymshark UK Shopify Store,05/08/2017,United Kingdom,64,0,64,53.33,fulfilled,Standard (3-5 Working Days),
#0006005,9947,Gymshark UK Shopify Store,24/11/2018,United Kingdom,21.6,4,25.6,21.33,Billed,Standard (2 Working Days),AFSBUK10-57SV59
#0002384,9948,Gymshark USA Shopify Store,06/07/2017,United States,24.36,7.69,32.05,32.05,fulfilled,Standard (7-14 Working Days),USWELCOME-T4FCT733
#0011979,9949,Gymshark UK Shopify Store,19/04/2017,United Kingdom,40,6,46,38.33,fulfilled,Next Working Day,
#0014096,9949,Gymshark UK Shopify Store,21/04/2017,United Kingdom,40,0,40,33.33,fulfilled,Standard (3-5 Working Days),
#0009336,9949,Gymshark UK Shopify Store,03/05/2017,United Kingdom,40,6,46,38.33,fulfilled,Next Working Day,
#0013574,9949,Gymshark UK Shopify Store,23/01/2019,United Kingdom,28,4,32,26.67,Billed,Standard (2 Working Days),
#0012634,9951,Gymshark USA Shopify Store,06/08/2016,United States,60.34,0,60.34,60.34,fulfilled,Shipping,
#0005281,9951,Gymshark USA Shopify Store,22/10/2016,United States,67.84,0,67.84,67.84,fulfilled,Standard,
#0006300,9951,Gymshark USA Shopify Store,27/10/2016,United States,71.07,0,71.07,71.07,fulfilled,Standard,
#0013318,9951,Gymshark UK Shopify Store,12/04/2018,United States,0,0,0,0,Billed,Express (1-2 Working Days),GIFT
#0008847,9951,Gymshark USA Shopify Store,26/04/2018,United States,45.89,7.17,53.06,53.06,Billed,Standard (7-14 Working Days),
#0003993,9951,Gymshark USA Shopify Store,26/06/2018,United States,66.35,0,66.35,66.35,Billed,Standard (7-14 Working Days),
#0004034,9951,Gymshark USA Shopify Store,08/11/2018,United States,64.74,0,64.74,64.74,Billed,Standard (4-7 Working Days),
#0009629,9951,Gymshark USA Shopify Store,27/12/2018,United States,82.63,0,82.63,82.63,Billed,Standard (4-7 Working Days),
#0000200,9951,Gymshark USA Shopify Store,24/01/2019,United States,65.01,0,65.01,65.01,Billed,Standard (4-7 Working Days),
#0012099,9951,Gymshark USA Shopify Store,03/02/2019,United States,64.98,0,64.98,64.98,Billed,Standard (4-7 Working Days),
#0001401,9951,Gymshark USA Shopify Store,14/03/2019,United States,139.56,0,139.56,139.56,Billed,Express (1-3 Working Days),
#0004109,9952,Gymshark USA Shopify Store,19/11/2018,United States,16.36,3.9,20.26,20.26,Billed,Standard (4-7 Working Days),
#0011749,9952,Gymshark USA Shopify Store,19/11/2018,United States,117.64,0,117.64,117.64,Billed,Standard (4-7 Working Days),
#0000849,9954,Gymshark USA Shopify Store,03/07/2015,Brazil,14.12,4.49,18.61,18.61,fulfilled,Brazil Express Tracked Shipping,
#0011097,9956,Gymshark USA Shopify Store,18/04/2019,United States,69.02,0,69.02,69.02,Billed,Standard (4-7 Working Days),
#0006166,9959,Gymshark USA Shopify Store,25/04/2017,United States,89.86,0,89.86,89.86,fulfilled,Standard (7-14 Working Days),USWELCOME-7A2A3797
#0000295,9960,Gymshark EU Shopify Store,20/09/2016,Germany,30.68,0,30.68,25.78,fulfilled,Standard (3-5 Working Days),
#0002623,9960,Gymshark EU Shopify Store,22/09/2016,Germany,86.92,0,86.92,73.04,fulfilled,Standard (3-5 Working Days),
#0003784,9960,Gymshark EU Shopify Store,24/09/2016,Germany,68.34,0,68.34,57.43,fulfilled,Standard (3-5 Working Days),
#0011161,9960,Gymshark EU Shopify Store,13/03/2017,Germany,47.26,7.8,55.06,46.27,fulfilled,Standard (3-5 Working Days),SAVEFIVE
#0003481,9960,Gymshark DE Shopify Store,26/04/2017,Germany,51.72,0,51.72,43.46,fulfilled,Standard (3-5 Working Days),
#0011138,9960,Gymshark DE Shopify Store,09/03/2019,Germany,358.17,0,358.17,301.03,Billed,Express (1-2 Working Days),
#0000515,9961,Gymshark USA Shopify Store,07/12/2018,United States,78.31,0,78.31,78.31,Billed,Standard (4-7 Working Days),
#0006707,9962,Gymshark ROW Shopify Store,08/03/2018,Saudi Arabia,64.02,10.79,74.81,74.81,Billed,Express (2-4 Working Days),
#0005660,9964,Gymshark UK Shopify Store,20/12/2018,United Kingdom,75,0,75,62.5,Billed,Next Working Day,
#0009700,9965,Gymshark SWE Shopify Store,24/01/2019,Sweden,89.1,0,89.1,71.28,Billed,Standard (3-5 Working Days),
#0002030,9966,Gymshark UK Shopify Store,22/10/2018,United Kingdom,60,0,60,50,Billed,Standard (2 Working Days),
#0012792,9969,Gymshark USA Shopify Store,03/04/2017,United States,77.66,0,77.66,77.66,fulfilled,Standard (7-14 Working Days),
#0011658,9969,Gymshark USA Shopify Store,25/04/2017,United States,102.7,0,102.7,102.7,fulfilled,Standard (7-14 Working Days),USWELCOME-T8DEADDC
#0009553,9969,Gymshark USA Shopify Store,24/05/2017,United States,71,0,71,71,fulfilled,Standard (7-14 Working Days),500KSTRONG
#0004465,9969,Gymshark USA Shopify Store,25/05/2017,United States,122.51,0,122.51,122.51,Unfulfilled,Express (1-2 Working Days),USWELCOME-C72869B2
#0011160,9969,Gymshark USA Shopify Store,30/07/2017,United States,70.75,0,70.75,70.75,fulfilled,Standard (7-14 Working Days),
#0002254,9969,Gymshark USA Shopify Store,19/11/2018,United States,36,3.9,39.9,39.9,Billed,Standard (4-7 Working Days),
#0006556,9969,Gymshark USA Shopify Store,19/12/2018,United States,122.31,0,122.31,122.31,Billed,Express (1-3 Working Days),
#0012884,9969,Gymshark USA Shopify Store,14/03/2019,United States,67.89,0,67.89,67.89,Billed,Standard (4-7 Working Days),
#0008648,9970,Gymshark NOR Shopify Store,19/11/2018,Norway,137.49,0,137.49,112.65,Billed,Standard (3-5 Working Days),
#0008786,9972,Gymshark UK Shopify Store,30/03/2019,United Kingdom,61.2,0,61.2,50.99,Billed,Standard (2 Working Days),AFSBUK10-JKQA6H
#0005706,9974,Gymshark USA Shopify Store,29/12/2018,United States,44.21,3.95,48.16,48.16,Billed,Standard (4-7 Working Days),
#0009649,9977,Gymshark UK Shopify Store,09/01/2019,United Kingdom,65,0,65,54.17,Billed,Next Working Day,
#0007277,9978,Gymshark USA Shopify Store,27/02/2019,United States,33.98,3.78,37.76,37.76,Billed,Standard (4-7 Working Days),
#0004430,9978,Gymshark USA Shopify Store,06/03/2019,United States,25.13,3.81,28.94,17.52,Closed,Standard (4-7 Working Days),
#0010562,9978,Gymshark USA Shopify Store,06/03/2019,United States,11.42,0,11.42,11.42,Billed,Standard (4-7 Working Days),
#0011934,9979,Gymshark UK Shopify Store,23/08/2017,United Kingdom,45,0,45,37.5,fulfilled,Standard (3-5 Working Days),
#0012291,9979,Gymshark UK Shopify Store,24/11/2017,United Kingdom,16,4,20,16.66,Billed,Standard (3-5 Working Days),
#0005609,9981,Gymshark USA Shopify Store,03/10/2017,United States,64.14,0,64.14,64.14,Billed,Standard (7-14 Working Days),75AFF
#0004878,9982,Gymshark UK Shopify Store,12/01/2018,United Kingdom,44,0,44,36.66,Billed,Standard (3-5 Working Days),
#0006443,9983,Gymshark ROW Shopify Store,20/11/2018,China,94.5,11.67,106.17,106.17,Billed,Standard (3-6 Working Days),
#0005723,9986,Gymshark DE Shopify Store,14/05/2018,Germany,60.66,0,60.66,50.97,Billed,Standard (3-5 Working Days),
#0008879,9988,Gymshark EU Shopify Store,20/11/2017,Belgium,44.78,8,52.78,43.63,Billed,Standard (3-5 Working Days),
#0004104,9989,Gymshark EU Shopify Store,11/04/2018,Belgium,70.27,0,70.27,58.07,Billed,Standard (3-5 Working Days),
#0012238,9991,Gymshark UK Shopify Store,22/01/2018,United Kingdom,16,4,20,16.66,Billed,Standard (3-5 Working Days),
#0012230,9996,Gymshark UK Shopify Store,24/04/2018,United Kingdom,40,0,40,33.34,Billed,Standard (3-5 Working Days),SBUK20LD-JEU63K
#0005032,9999,Gymshark USA Shopify Store,19/11/2018,United States,30.85,3.9,34.75,34.75,Billed,Standard (4-7 Working Days),
#0008217,10000,Gymshark USA Shopify Store,02/07/2018,United States,16.7,7.59,24.29,24.29,Billed,Standard (7-14 Working Days),
#0008604,6369,Gymshark USA Shopify Store,27/10/2016,United States,30.69,8.08,38.77,38.77,fulfilled,Standard,
#0009633,6369,Gymshark USA Shopify Store,09/06/2017,United States,62.53,11.72,74.26,74.26,fulfilled,Express (1-2 Working Days),
#0010241,6372,Gymshark USA Shopify Store,22/09/2018,United States,32.75,3.82,36.57,36.57,Billed,Standard (4-7 Working Days),SBUS10-RXQAZG
#0005895,6374,Gymshark UK Shopify Store,03/09/2016,United Kingdom,18.67,3.33,22,18.33,fulfilled,Shipping,
#0005571,6375,Gymshark USA Shopify Store,18/08/2018,United States,61.19,0,61.19,61.19,Billed,Standard (7-14 Working Days),
#0005974,6376,Gymshark USA Shopify Store,13/10/2018,United States,35.72,3.8,39.52,39.52,Billed,Standard (4-7 Working Days),SBUS10-2PWSQU
#0004223,6378,Gymshark USA Shopify Store,14/03/2018,United States,61.49,0,61.49,61.49,Billed,Standard (7-14 Working Days),
#0008928,6382,Gymshark UK Shopify Store,18/12/2017,United Kingdom,50.4,0,50.4,42,Billed,Standard (3-5 Working Days),
#0007708,6382,Gymshark UK Shopify Store,26/05/2018,United Kingdom,60,0,60,50.01,Billed,Standard (3-5 Working Days),
#0003045,6383,Gymshark DEN Shopify Store,12/12/2018,Denmark,42.46,4.85,47.31,37.85,Billed,Standard (3-5 Working Days),
#0002295,6385,Gymshark UK Shopify Store,16/02/2016,United Kingdom,22.92,2.49,25.41,21.18,fulfilled,Shipping,
#0012121,6385,Gymshark UK Shopify Store,02/04/2018,United Kingdom,28,4,32,26.66,Billed,Standard (3-5 Working Days),
#0000311,6386,Gymshark USA Shopify Store,13/12/2018,United States,43.59,0,43.59,43.59,Billed,Standard (4-7 Working Days),
#0004120,6387,Gymshark UK Shopify Store,25/06/2018,United Kingdom,122.4,0,122.4,101.99,Billed,Standard (3-5 Working Days),SBUKMAY10-3A7EAN
#0007659,6387,Gymshark UK Shopify Store,02/07/2018,United Kingdom,42.84,0,42.84,35.69,Billed,Standard (3-5 Working Days),SBUKMAY10-D8Z9FW
#0004240,8465,Gymshark UK Shopify Store,28/12/2018,United Kingdom,25,4,29,24.16,Billed,Standard (2 Working Days),
#0009821,8466,Gymshark DE Shopify Store,02/09/2018,Germany,51.04,0,51.04,42.89,Billed,Standard (2-3 Working Days),
#0007897,8467,Gymshark UK Shopify Store,07/11/2016,United Kingdom,36,0,36,30,fulfilled,Standard (3-5 Working Days),
#0001926,8468,Gymshark UK Shopify Store,26/11/2017,United Kingdom,17,4,21,17.5,Billed,Standard (3-5 Working Days),
#0002684,8472,Gymshark USA Shopify Store,24/02/2019,United States,76.6,0,76.6,76.6,Billed,Standard (4-7 Working Days),
#0004369,8473,Gymshark NOR Shopify Store,19/11/2018,Norway,48.33,3.34,51.67,42.33,Billed,Standard (3-5 Working Days),
#0002085,8482,Gymshark USA Shopify Store,21/11/2017,United States,70.66,0,70.66,70.66,Billed,Standard (7-14 Working Days),
#0013277,8482,Gymshark USA Shopify Store,02/01/2018,United States,66.6,0,66.6,66.6,Billed,Standard (7-14 Working Days),
#0005473,8482,Gymshark USA Shopify Store,03/04/2018,United States,66.88,0,66.88,66.88,Billed,Standard (7-14 Working Days),
#0006642,8482,Gymshark USA Shopify Store,18/09/2018,United States,115.31,0,115.31,115.31,Billed,Failed Shipment Mapping,
#0004523,8482,Gymshark USA Shopify Store,28/10/2018,United States,167.57,0,167.57,167.57,Billed,Express (1-3 Working Days),
#0007493,8482,Gymshark USA Shopify Store,25/01/2019,United States,103.25,0,103.25,103.25,Billed,Standard (4-7 Working Days),
#0004117,8485,Gymshark UK Shopify Store,17/03/2019,United Kingdom,25,4,29,24.16,Billed,Standard (2 Working Days),
#0006840,8487,Gymshark EU Shopify Store,18/10/2018,Netherlands,38.63,4.39,43.02,35.55,Billed,Standard (2-3 Working Days),
#0010508,8488,Gymshark USA Shopify Store,10/09/2016,United States,58.56,11.41,69.97,69.97,fulfilled,Shipping,
#0013337,8488,Gymshark USA Shopify Store,08/10/2016,United States,42,12.11,54.11,54.11,fulfilled,Express,
#0001106,8488,Gymshark USA Shopify Store,10/08/2017,United States,64,11.57,75.56,75.56,fulfilled,Express (1-2 Working Days),
#0003434,8490,Gymshark UK Shopify Store,21/09/2018,United Kingdom,18.9,4,22.9,19.08,Billed,Standard (2 Working Days),SBAUG10-N97AYA
#0007316,8492,Gymshark USA Shopify Store,09/12/2017,United States,26.69,7.41,34.1,34.1,Billed,Standard (7-14 Working Days),
#0005632,8493,Gymshark USA Shopify Store,30/12/2018,United States,70.88,0,70.88,70.88,Billed,Standard (4-7 Working Days),
#0009340,8497,Gymshark IE Shopify Store,23/11/2018,Ireland,187.51,0,187.51,152.45,Billed,Standard (2-3 Working Days),
#0012787,8499,Gymshark EU Shopify Store,20/11/2017,Croatia/Hrvatska,27.02,8,35.02,29.18,Billed,Standard (3-5 Working Days),
#0005396,8499,Gymshark EU Shopify Store,18/06/2018,Croatia/Hrvatska,31.44,7.86,39.3,31.44,Billed,Standard (3-5 Working Days),
#0006179,8499,Gymshark EU Shopify Store,12/04/2019,Croatia/Hrvatska,55.29,7.77,63.06,50.45,Billed,Standard (3-5 Working Days),
#0005678,8500,Gymshark UK Shopify Store,07/03/2017,United Kingdom,57.8,0,57.8,48.17,fulfilled,Standard (3-5 Working Days),
#0013126,8500,Gymshark UK Shopify Store,06/04/2017,United Kingdom,69.39,0,69.39,57.83,fulfilled,Standard (3-5 Working Days),UKWELCOME-S4TBSB5S
#0011233,8501,Gymshark USA Shopify Store,12/02/2019,United States,82.76,0,82.76,82.76,Billed,Standard (4-7 Working Days),
#0007202,8502,Gymshark USA Shopify Store,02/05/2018,United States,57.4,0,57.4,57.4,Billed,Standard (7-14 Working Days),
#0007734,8505,Gymshark DE Shopify Store,20/11/2017,Germany,73.58,0,73.58,61.84,Billed,Standard (3-5 Working Days),
#0010429,8505,Gymshark DE Shopify Store,02/07/2018,Germany,27.86,4.42,32.28,27.12,Billed,Standard (3-5 Working Days),
#0003278,8505,Gymshark DE Shopify Store,19/11/2018,Germany,52.25,0,52.25,43.91,Billed,Standard (2-3 Working Days),
#0011590,8505,Gymshark DE Shopify Store,10/01/2019,Germany,90.41,0,90.41,75.98,Billed,Express (1-2 Working Days),
#0002315,8506,Gymshark UK Shopify Store,19/11/2018,United Kingdom,15,4,19,15.83,Billed,Standard (2 Working Days),
#0010545,8508,Gymshark UK Shopify Store,16/03/2018,United Kingdom,70,0,70,58.33,Billed,Standard (3-5 Working Days),
#0002328,8509,Gymshark UK Shopify Store,05/02/2019,United Kingdom,70.2,0,70.2,58.5,Billed,Standard (2 Working Days),AFSBUK-E79ZMZ
#0011508,8510,Gymshark FRA Shopify Store,29/01/2019,France,60.84,0,60.84,50.7,Billed,Standard (2-3 Working Days),
#0006677,8511,Gymshark EU Shopify Store,26/08/2017,France,45.54,8.2,53.74,44.78,fulfilled,Standard (3-5 Working Days),
#0003099,8511,Gymshark FRA Shopify Store,06/12/2017,France,65.23,0,65.23,54.36,Billed,Standard (3-5 Working Days),
#0000056,8511,Gymshark FRA Shopify Store,10/02/2018,France,24.78,4.43,29.21,24.34,Billed,Standard (3-5 Working Days),
#0012489,8511,Gymshark FRA Shopify Store,09/04/2018,France,39.17,4.36,43.53,36.28,Billed,Standard (3-5 Working Days),
#0001049,8511,Gymshark FRA Shopify Store,26/06/2018,France,59.95,0,59.95,49.96,Billed,Standard (3-5 Working Days),
#0009625,8511,Gymshark FRA Shopify Store,13/08/2018,France,173.13,0,173.13,144.29,Billed,Standard (2-3 Working Days),
#0001766,8513,Gymshark USA Shopify Store,27/12/2015,Switzerland,70.62,0,70.62,70.62,fulfilled,Shipping,
#0010526,8513,Gymshark EU Shopify Store,23/12/2016,Switzerland,97.95,0,97.95,97.95,fulfilled,Standard (3-5 Working Days),
#0013992,8513,Gymshark EU Shopify Store,31/03/2017,Switzerland,58.93,7.8,66.73,66.73,fulfilled,Standard (3-5 Working Days),
#0005971,8513,Gymshark EU Shopify Store,10/07/2017,Switzerland,33.65,7.97,41.62,41.62,fulfilled,Standard (3-5 Working Days),
#0007613,8513,Gymshark EU Shopify Store,04/02/2018,Switzerland,105.89,0,105.89,105.89,Billed,Standard (3-5 Working Days),
#0001090,8514,Gymshark SWE Shopify Store,10/01/2019,Sweden,22.06,4.41,26.47,21.18,Billed,Standard (3-5 Working Days),
#0005445,8515,Gymshark USA Shopify Store,14/12/2018,United States,79.18,11.88,91.06,91.06,Billed,Express (1-3 Working Days),
#0011372,8517,Gymshark AUS Shopify Store,20/04/2019,New Zealand,49.55,11.01,60.56,60.56,Billed,Express (2-4 Working Days),
#0006681,8519,Gymshark USA Shopify Store,29/08/2018,Canada,17.1,11.66,28.76,28.76,Billed,Failed Shipment Mapping,
#0013290,8521,Gymshark USA Shopify Store,19/10/2017,United States,66.62,0,66.62,66.62,Billed,Standard (7-14 Working Days),
#0006566,8524,Gymshark UK Shopify Store,02/07/2018,United Kingdom,16,4,20,16.66,Billed,Standard (3-5 Working Days),
#0003518,8526,Gymshark UK Shopify Store,20/11/2018,United Kingdom,73,0,73,60.83,Billed,Standard (2 Working Days),
#0007604,8527,Gymshark UK Shopify Store,02/07/2018,United Kingdom,101.4,0,101.4,84.5,Billed,Standard (3-5 Working Days),
#0005848,8527,Gymshark UK Shopify Store,27/04/2019,United Kingdom,60,0,60,50,Billed,Standard (2 Working Days),
#0009752,8529,Gymshark USA Shopify Store,05/11/2017,United States,30.51,7.65,38.16,38.16,Billed,Standard (7-14 Working Days),35AFF
