Order Number,CustomerID,Item Quantity,Item SKU,Item Subtotal (Inc Disc),Item Discount GBP,Item Gross Total GBP,Item Tax Value GBP,Item Net Total GBP
#0000688,9091,1,GLUW004-BK-XS,15.68,0,15.68,0,15.68
#0000689,8025,1,GALY3390-BK-OS,6.24,0,6.24,0,6.24
#0000689,8025,1,GAPC002-BK,7.49,0,7.49,0,7.49
#0000691,7742,1,GMTK023-BK-M,17.26,0,17.26,0,17.26
#0000691,7742,1,GMST034-BK/WH-M,14.12,0,14.12,0,14.12
#0000697,8992,1,GLLG041-BK-XS,27.88,0,27.88,0,27.88
#0000697,8992,1,GLLG033-IND-XS,25.46,0,25.46,0,25.46
#0000701,2599,1,GLLT026-BKM-L,15.18,0,15.18,0,15.18
#0000701,2599,1,GLLG049-PW-M,19.73,0,19.73,0,19.73
#0000701,2599,1,GLCT005-IND/BK-L,21.25,0,21.25,0,21.25
#0000701,2599,1,GLCT011-BK-L,18.22,0,18.22,0,18.22
#0000703,5659,1,GMTK023-GLM-XXL,9,0,9,1.5,7.5
#0000703,5659,1,GMST027-BK-XL,19.2,0,19.2,3.2,16
#0000704,60,1,GLLG043-BK-M,27.99,0,27.99,4.66,23.33
#0000704,60,1,GLLG079-STM-M,26.6,0,26.6,4.43,22.17
#0000704,60,1,GLLG081-BK-M,22.4,0,22.4,3.73,18.67
#0000706,4103,1,GMTK006-GLM-L,17.22,0,17.22,2.87,14.35
#0000708,6153,1,GLLG012-BK-S,39.2,0,39.2,6.8,32.4
#0000709,2376,1,GLSB020-BK-XL,30.84,0,30.84,0,30.84
#0000709,2376,1,GABT006-BK-OS,10.8,0,10.8,0,10.8
#0000709,2376,1,GLCT021-TPM/PHC-M,26.99,0,26.99,0,26.99
#0000709,2376,1,GLSB034-BK-XL,30.84,0,30.84,0,30.84
#0000709,2376,1,GLLG066-TPM/PHC-XS,42.41,0,42.41,0,42.41
#0000710,3500,1,GLCT1848-CHM/DKT-XS,22.63,0,22.63,0,22.63
#0000710,3500,1,GLSH014-CHM/DKT-XS,26.4,0,26.4,0,26.4
#0000711,3869,1,GLLG058-CHM/PHP-M,35.7,0,35.7,5.71,29.99
#0000713,3666,1,GMTK027-NSP-L,16,0,16,2.67,13.33
#0000713,3666,1,GMJG026-SB/WH-M,25.2,0,25.2,4.2,21
#0000714,9930,1,GMHD020-BK-M,21.38,0,21.38,0,21.38
#0000716,1860,1,GLLG028-BK/WH-L,28.14,,25.33,0,25.33
#0000716,1860,1,GLUW002-MG-M,13.29,,11.96,0,11.96
#0000717,8833,1,GMTK023-WH-L,18,,18,3,15
#0000719,5936,1,GPT-GP-M,6.42,0,6.42,1.2,5.22
#0000719,5936,1,GLSV-WH/BK-M,12.85,0,12.85,2.4,10.45
#0000719,5936,1,GFSTS-AQ-M,19.28,0,19.28,3.6,15.67
#0000720,5243,1,GLLG043-BK-M,28,2.8,25.2,4.2,20.99
#0000720,5243,1,GLLG043-BK-S,28,2.8,25.2,4.2,21
#0000720,5243,1,GLCT007-BK-S,30,3,27,4.5,22.5
#0000720,5243,1,GLCT007-BT-S,30,3,27,4.5,22.5
#0000724,7738,1,GMST013-CHM-XL,18.02,,18.02,0,18.02
#0000725,3613,1,GLLG016-SGM-S,37.85,0,37.85,0,37.85
#0000725,3613,1,GLPO004-BK-M,30.28,0,30.28,0,30.28
#0000727,6708,1,GMPO1980-WH-M,31.16,0,31.16,0,31.16
#0000727,6708,1,GMHD015-GLM-M,10.28,0,10.28,0,10.28
#0000727,6708,1,GMJG008-BK-M,15.58,0,15.58,0,15.58
#0000727,6708,1,GMPO003-BK-M,17.14,0,17.14,0,17.14
#0000727,6708,1,GMJG008-GLM-M,9.35,0,9.35,0,9.35
#0000727,6708,1,GMJG024-BK-M,19.48,0,19.48,0,19.48
#0000727,6708,1,GMJK2038-BK-M,49.86,0,49.86,0,49.86
#0000728,3974,1,GMTK028-NSP-L,28.71,0,28.71,0,28.71
#0000728,3974,1,GMST054-PGNM-M,22.67,0,22.67,0,22.67
#0000730,8884,1,GMJG029-CHM-L,34,0,34,5.67,28.33
#0000731,8286,1,GFHT-GR/GP-S,36.13,0,36.13,6.02,30.11
#0000734,3493,1,GMSH006-AEB-M,21.78,2.18,19.6,3.27,16.33
#0000734,3493,1,GMTK3321-BK-M,17.42,1.74,15.68,2.61,13.07
#0000734,3493,1,GMST1965-BKM-M,26.14,2.62,23.52,3.92,19.6
#0000736,2809,1,GLLG041-BK-XS,27.88,0,27.88,0,27.88
#0000736,2809,1,GMSH024-BK-L,15.76,0,15.76,0,15.76
#0000736,2809,1,GMHD028-GLM-M,27.28,0,27.28,0,27.28
#0000736,2809,1,GMLS004-PT-M,18.18,0,18.18,0,18.18
#0000736,2809,1,GMST034-BK/WH-S,10.91,0,10.91,0,10.91
#0000736,2809,1,GMST034-FG/WH-S,10.91,0,10.91,0,10.91
#0000736,2809,1,GMST034-PT/WH-S,10.91,0,10.91,0,10.91
#0000736,2809,1,GMJG021-BK-L,29.09,0,29.09,0,29.09
#0000737,9600,1,GMSR001-GBL/WH-M,11.3,,11.3,1.88,9.42
#0000737,9600,1,GMHD005-BK/BL-M,30.43,,30.43,5.07,25.36
#0000737,9600,1,GMHD017-CH/GLM-M,30.43,,30.43,5.07,25.36
#0000738,184,1,GMST3243-BK-M,22.94,0,22.94,0,22.94
#0000738,184,1,GMBT3244-GRM-M,34.42,0,34.42,0,34.42
#0000741,3363,1,GMST037-WH-M,25,0,25,4.17,20.83
#0000741,3363,1,GMLT020-PTM-M,32,0,32,5.33,26.67
#0000743,4260,1,GMST009-NV-M,15.61,0,15.61,2.6,13.01
#0000743,4260,1,GMHD014-GM/CH-M,20.99,0,20.99,3.5,17.49
#0000743,4260,1,GMHD014-NV/GM-M,21,0,21,3.5,17.5
#0000743,4260,1,GMJG004-CHM-M,34,0,34,5.67,28.33
#0000744,6908,1,GMST034-WH/BK-S,16,0,16,2.67,13.33
#0000744,6908,1,GMPO003-SB-M,34,0,34,5.67,28.33
#0000745,3974,1,GMST2020-DKT-M,22.76,0,22.76,0,22.76
#0000746,2937,1,GMST042-BK-M,25.47,0,25.47,0,25.47
#0000746,2937,1,GMST042-SB-M,25.47,0,25.47,0,25.47
#0000746,2937,1,GMST042-SLD-M,25.47,0,25.47,0,25.47
#0000746,2937,1,GMLT024-SB-M,23.97,0,23.97,0,23.97
#0000748,3065,1,GLJG1917-BK-S,34.47,0,34.47,0,34.47
#0000749,5889,1,GLLG017-BKM-S,35.5,0,35.5,0,35.5
#0000751,2575,1,GLLG062-BK-M,58.45,0,58.45,11.69,46.76
#0000751,2575,1,GLCT020-SEB-S,37.57,0,37.57,7.51,30.06
#0000753,5625,1,GLJG009-WKH-M,40,0,40,6.67,33.33
#0000753,5625,1,GLPO016-WKH-M,25,0,25,4.17,20.83
#0000756,732,1,GLLG022-BK/PLL-S,17.87,0,17.87,0,17.87
#0000757,4796,1,GMTK023-BK-S,12.6,0,12.6,2.1,10.5
#0000757,4796,1,GMST034-SBM/WH-S,12.8,0,12.8,2.13,10.67
#0000758,2589,1,GLLG1828-BK-S,45,4.5,40.5,6.75,33.75
#0000759,36,1,GMPO003-GLM-M,17,0,17,2.83,14.17
#0000760,1822,1,GLLG058-CH/DP-S,25.74,2.57,23.17,0,23.17
#0000760,1822,1,GLLG058-DT/IB-S,25.74,2.57,23.17,0,23.17
#0000760,1822,1,GLCT003-BK-M,21.45,2.14,19.31,0,19.3
#0000762,1117,1,GLHD023-CHM-S,22.78,0,22.78,0,22.78
#0000762,1117,1,GLLG046-BK-S,27.16,0,27.16,0,27.16
#0000762,1117,1,GLLG014-SB-S,24.76,0,24.76,0,24.76
#0000762,1117,1,GLJG005-RP-S,14.85,0,14.85,0,14.85
#0000762,1117,1,GLVT022-BK-S,13.58,0,13.58,0,13.58
#0000763,9348,1,GLLG043-KH-L,38.14,3.81,34.33,0,34.33
#0000767,4001,1,GLCT023-DT/IB-XS,30.22,0,30.22,0,30.22
#0000767,4001,1,GLPO011-TP-XS,31.73,0,31.73,0,31.73
#0000769,8211,1,GAHW3346-BK-OS,12.44,0,12.44,0,12.44
#0000769,8211,1,GLUW004-BK-XS,10.89,0,10.89,0,10.89
#0000769,8211,1,GLUW004-DPL-XS,10.89,0,10.89,0,10.89
#0000769,8211,1,GLUW005-BK-S,9.33,0,9.33,0,9.33
#0000769,8211,1,GLUW005-DPL-S,9.33,0,9.33,0,9.33
#0000769,8211,1,GLVT026-BK-XS,15.86,0,15.86,0,15.86
#0000769,8211,1,GLSB014-DP-XS,17.73,0,17.73,0,17.73
#0000770,6267,1,GMPO3254-BK-M,35,0,35,0,35
#0000771,6497,1,GLLG049-CH/CHM-S,38.7,0,38.7,0,38.7
#0000771,6497,1,GLCT016-BK-S,25.3,0,25.3,0,25.3
#0000771,6497,1,GLLG036-BKM/CHM-M,31.26,0,31.26,0,31.26
#0000772,9633,1,GMHD021-CHM-S,19,0,19,3.17,15.83
#0000773,2650,1,GMHD018-BK/GLM-M,36.84,,36.84,0,36.84
#0000773,2650,1,GMHD019-GLM-M,36.84,,36.84,0,36.84
#0000773,2650,1,GMLG005-BK-M,40.05,,40.05,0,40.05
#0000777,7730,1,GMSH3253-BK-M,18.93,1.89,17.04,0,17.04
#0000777,7730,1,GMST034-SMGM-M,11.36,1.14,10.22,0,10.22
#0000778,6833,1,GLLG062-BK-M,43.23,0,43.23,0,43.23
#0000778,6833,1,GLCT020-SEB-M,35.37,0,35.37,0,35.37
#0000778,6833,1,GLSB027-BK-M,35.37,0,35.37,0,35.37
#0000778,6833,1,GLLG062-WHL-M,43.23,0,43.23,0,43.23
#0000782,4119,1,GFETS-NV-XL,12.94,0,12.94,0,12.94
#0000782,4119,1,GFST-V-XL,16.18,0,16.18,0,16.18
#0000782,4119,1,GFSTS-AQ-XL,19.42,0,19.42,0,19.42
#0000782,4119,1,GFTTH-BL-L,23.95,0,23.95,0,23.95
#0000783,1871,1,GLJG004-CHM-M,34.47,3.45,31.02,0,31.02
#0000783,1871,1,GLLG062-BO-M,42.13,4.21,37.92,0,37.92
#0000785,206,1,GLLG058-DKRM/BSN-M,28.53,2.85,25.68,0,25.68
#0000785,206,1,GMTK1971-BKM-M,19.81,1.98,17.83,0,17.83
#0000786,4774,1,GLSB2061-CHM/DPK-S,25,0,25,4.17,20.83
#0000786,4774,1,GLLG1824-CHM/DPK-M,40,0,40,6.67,33.33
#0000787,7771,1,GMST017-AGM-S,28,2.8,25.2,4.2,21
#0000788,9448,1,GLLG076-GL-S,22.36,2.24,20.12,0,20.12
#0000788,9448,1,GLLG076-WHKM-S,22.36,2.24,20.12,0,20.12
#0000788,9448,1,GMST034-DBR-M,11.18,1.12,10.06,0,10.07
#0000789,7537,1,GMJG008-BK-M,20.84,0,20.84,4.17,16.67
#0000791,891,1,GMLT020-NSPM-S,32,0,32,5.33,26.67
#0000791,891,1,GMLT020-PTM-S,32,0,32,5.33,26.67
#0000793,3088,1,GMST3256-CGR-S,11.33,0,11.33,0,11.33
#0000793,3088,1,GMST3256-SB-S,11.33,0,11.33,0,11.33
#0000793,3088,1,GMST3256-WGN-S,11.33,0,11.33,0,11.33
#0000793,3088,1,GMLT3257-SB-S,13.59,0,13.59,0,13.59
#0000793,3088,1,GMLT3257-WGN-S,13.59,0,13.59,0,13.59
#0000796,7316,1,GLLG004-MN/SP-M,29.65,0,29.65,0,29.65
#0000796,7316,1,GLCS001-GLM/SP-M,32.7,0,32.7,0,32.7
#0000797,6895,1,GMST016-GLM-M,17.31,,17.31,3,14.3
#0000799,7368,1,GMSH1999-BK-M,20,0,20,3.33,16.67
#0000799,7368,1,GMTK022-PT-M,12.6,0,12.6,2.1,10.5
#0000799,7368,1,GMTK022-SMGM-M,12.6,0,12.6,2.1,10.5
#0000799,7368,1,GMPO003-CHM-M,17,0,17,2.83,14.17
#0000799,7368,1,GMJG035-BK-M,32,0,32,5.33,26.67
#0000800,5553,1,GMHD027-BK-XL,40.52,4.05,36.47,0,36.47
#0000800,5553,1,GMPO008-CHM-XL,39.07,3.91,35.16,0,35.16
#0000801,2539,1,GLLG008-MLT-S,18.23,,16.4,0,16.4
#0000801,2539,1,GLUW001-BK-S,13.47,,12.12,0,12.12
#0000801,2539,1,GLUW002-BK-S,13.47,,12.12,0,12.12
#0000801,2539,1,GLVT018-BK-S,26.94,,24.25,0,24.25
#0000802,310,1,GLLG039-DP-M,24.64,0,24.64,0,24.64
#0000802,310,1,GLLG066-TPM/PHC-M,42.09,0,42.09,0,42.09
#0000803,7110,1,GLSB017-BT-XS,28,0,28,4.67,23.33
#0000803,7110,1,GLSB021-PTQM-XS,24,0,24,4,20
#0000803,7110,1,GLLG058-CH/DP-XS,30,0,30,5,25
#0000803,7110,1,GLLG058-DT/IB-XS,30,0,30,5,25
#0000803,7110,1,GLVT033-PTB-XS,20,0,20,3.33,16.67
#0000803,7110,1,GLCT014-CH/DP-XS,28,0,28,4.67,23.33
#0000803,7110,1,GLPO009-BK-XS,34,0,34,5.67,28.33
#0000804,9217,1,GLLG018-BK-S,30.8,0,30.8,5.13,25.67
#0000804,9217,1,GLLG014-BK-S,26.6,0,26.6,4.43,22.17
#0000805,9118,1,GMSH024-BK-M,0,0,0,0,0
#0000806,4348,1,GLSB017-BT-M,28,0,28,4.67,23.33
#0000806,4348,1,GLLG049-BK/BKM-M,40,0,40,6.67,33.33
#0000808,3497,1,GMHD015-BK-S,35.54,0,35.54,0,35.54
#0000808,3497,1,GMHD015-GLM-S,35.54,0,35.54,0,35.54
#0000808,3497,1,GLLG012-CHM-M,35.54,0,35.54,0,35.54
#0000809,3497,1,GLLG051-BK-M,16.7,0,16.7,0,16.7
#0000809,3497,1,GLST010-PTB-S,7.59,0,7.59,0,7.59
#0000809,3497,1,GGLLG001-LB-L,21.25,0,21.25,0,21.25
#0000811,1034,1,GLLG1828-BK-M,39.1,0,39.1,6.79,32.31
#0000811,1034,1,GLSB017-BK-M,16,0,16,2.78,13.22
#0000811,1034,1,GMSH024-BK-L,18.49,0,18.49,3.21,15.28
#0000812,1800,1,GFHT-GP/NV-M,35.89,0,35.89,6.71,29.18
#0000812,1800,1,GFHT-GR/BK-M,35.87,0,35.87,6.71,29.16
#0000812,1800,1,GFTB-BK-L,35.87,0,35.87,6.71,29.16
#0000812,1800,1,GFTB-GP-L,35.89,0,35.89,6.71,29.18
#0000813,5672,1,GSGB-1,19.99,0,19.99,3.33,16.66
#0000814,3617,1,GLLT018-SPM-S,21.01,0,21.01,0,21.01
#0000814,3617,1,GLLT026-BTM-S,24.01,0,24.01,0,24.01
#0000814,3617,1,GLSB021-BKM-S,20.41,0,20.41,0,20.41
#0000814,3617,1,GLSB012-RP-S,15.61,0,15.61,0,15.61
#0000816,7922,1,GLHD030-CPM-XS,34,3.4,30.6,5.11,25.5
#0000816,7922,1,GLHD030-PLLM-XS,34,3.4,30.6,5.11,25.49
#0000818,4903,1,GLLG043-BK-S,30.72,0,30.72,2.79,27.93
#0000820,931,1,GLLG025-BK-S,13.34,0,13.34,2.13,11.21
#0000820,931,1,GLCT003-CHM-S,18.67,0,18.67,2.98,15.69
#0000820,931,1,GLVT006-SLC-S,10.66,0,10.66,1.7,8.96
#0000820,931,1,GLVT018-BK-S,15.11,0,15.11,2.41,12.7
#0000821,9523,1,GLHD030-BK-XS,29.98,0,29.98,0,29.98
#0000821,9523,1,GLCT009-PHPM-S,28.55,0,28.55,0,28.55
#0000823,8780,1,GLCT003-BK-S,15.91,0,15.91,0,15.91
#0000823,8780,1,GLSB008-BK/SLC-S,10.61,0,10.61,0,10.61
#0000824,1735,1,GLLG016-BKM-L,0,0,0,0,0
#0000825,8000,1,GMSH004-GLM/WH-M,28.38,,25.54,0,25.54
#0000825,8000,1,GMST010-GLM-M,14.59,,13.13,0,13.13
#0000825,8000,1,GMST010-WH-M,14.59,,13.13,0,13.13
#0000825,8000,1,GMST013-BK-M,22.7,,20.43,0,20.43
#0000825,8000,1,GMLG005-BK-S,40.54,,36.49,0,36.49
#0000827,1735,1,GLLG043-BK-L,40,0,40,6.67,33.33
#0000829,3131,1,GLCT1847-PGPM-M,36.81,0,36.81,7.36,29.45
#0000829,3131,1,GLSB1876-BK-S,36.81,0,36.81,7.36,29.45
#0000829,3131,1,GLLG1824-CHM/DPK-S,49.08,0,49.08,9.82,39.26
#0000830,4510,1,GMSR009-DKT-L,15.15,0,15.15,0,15.15
#0000830,4510,1,GMTK3335-BK-L,13.64,0,13.64,0,13.64
#0000830,4510,1,GMPO009-DKT-L,34.09,0,34.09,0,34.09
#0000837,2226,1,GAPC002-BK,13.4,0,13.4,2.14,11.26
#0000838,4250,1,GLLG1824-GL/MAB-S,51.61,5.16,46.45,8.99,37.46
#0000840,4157,1,GLLG052-PLL-M,18.05,1.8,16.25,0,16.25
#0000841,5562,1,GLLG082-BK/GL-L,40,4,36,6,30
#0000843,7718,1,GLCT013-DP-S,15.33,0,15.33,0,15.33
#0000843,7718,1,GLLG076-DPL-S,22.53,0,22.53,0,22.53
#0000845,8081,1,GLST006-SPM-XS,28,0,28,4.67,23.33
#0000845,8081,1,GLST013-PHPM-XS,28,0,28,4.67,23.33
#0000845,8081,1,GLLG012-RP-S,36,0,36,6,30
#0000845,8081,1,GLCT003-BK-XS,24,0,24,4,20
#0000846,8157,1,GLST1887-STM-S,32.66,0,32.66,6.53,26.13
#0000846,8157,1,GLLT1892-BSNM-S,36.75,0,36.75,7.35,29.4
#0000847,6477,1,GMST003-BKM/GBL-S,18.65,,17.05,0,17.05
#0000847,6477,1,GMST013-CHM-S,25.94,,23.72,0,23.72
#0000847,6477,1,GMASK003-BK,9.73,,8.89,0,8.89
#0000847,6477,1,GMJG007-SB-S,40.54,,37.08,0,37.08
#0000849,9954,1,GW-BK,0.64,0,0.64,0,0.64
#0000849,9954,1,GW-BL,0.64,0,0.64,0,0.64
#0000849,9954,1,GFS-BL/WH-M,12.85,0,12.85,0,12.85
#0000850,7842,1,GMTK024-BK-S,24,0,24,4,20
#0000850,7842,1,GMTK030-WH-S,20,0,20,3.33,16.67
#0000851,7755,1,GLSB3107-BK/CH/SG-XL,26.78,0,26.78,0,26.78
#0000853,8665,1,GMST1996-BK-M,21.32,0,21.32,3.4,17.92
#0000853,8665,1,GMST1996-SMGM-S,21.32,0,21.32,3.4,17.92
#0000853,8665,1,GMLS004-BK-M,13.34,0,13.34,2.13,11.21
#0000853,8665,1,GMJG036-BK-M,23.99,0,23.99,3.83,20.16
#0000856,6842,1,GLLG058-CH/DP-S,25.97,0,25.97,0,25.97
#0000857,1604,1,GASCSH-BK/GR-S,25.23,0,25.23,5.05,20.18
#0000857,1604,1,GPT-GP-M,15.13,0,15.13,3.03,12.1
#0000857,1604,1,GFETS-RD-M,20.18,0,20.18,4.04,16.14
#0000857,1604,1,GFRTT-BK-L,35.33,0,35.33,7.07,28.26
#0000857,1604,1,GMJG015-BK/WH-L,35.32,0,35.32,7.06,28.26
#0000858,9465,1,GMTK3335-SB-M,13.77,0,13.77,0,13.77
#0000858,9465,1,GLVT1862-WH-S,19.12,0,19.12,0,19.12
#0000858,9465,1,GLLG1824-WHKM/BSN-S,38.24,0,38.24,0,38.24
#0000859,2481,1,GMSH030-BK-L,18.19,0,18.19,0,18.19
#0000859,2481,1,GMTK022-NSP-M,8.41,0,8.41,0,8.41
#0000859,2481,1,GMST038-WH-M,12.23,0,12.23,0,12.23
#0000859,2481,1,GMLS004-BK-L,22.93,0,22.93,0,22.93
#0000859,2481,1,GMJG025-BK-M,25.68,0,25.68,0,25.68
#0000860,3727,1,GAWB001-BK,1.78,0,1.78,0.28,1.5
#0000860,3727,1,GMSR007-GLM-M,28.54,0,28.54,4.56,23.99
#0000860,3727,1,GMPO005-PT-M,37.46,0,37.46,5.98,31.48
#0000861,7070,1,GLSB013-PR-M,29.22,,29.22,0,29.22
#0000862,2713,1,GMSH022-CHR-M,23.02,0,23.02,0,23.02
#0000862,2713,1,GMSH024-GL-M,19.18,0,19.18,0,19.18
#0000862,2713,1,GMSH3253-BK-M,19.18,0,19.18,0,19.18
#0000862,2713,1,GMBT3179-CHM-M,34.53,0,34.53,0,34.53
#0000862,2713,1,GMST2032-WHO-M,19.18,0,19.18,0,19.18
#0000863,5558,1,GMSH3253-BK-S,19.04,1.9,17.14,0,17.13
#0000863,5558,1,GMST3256-BK-M,11.42,1.14,10.28,0,10.28
#0000863,5558,1,GMST3256-CGR-M,11.42,1.14,10.28,0,10.28
#0000863,5558,1,GMST3256-OXB-M,11.42,1.14,10.28,0,10.28
#0000863,5558,1,GMST3256-WGN-M,11.42,1.14,10.28,0,10.28
#0000863,5558,1,GMLT3257-SB-M,13.71,1.37,12.34,0,12.34
#0000864,6550,1,GFTB-BK-M,23.34,0,23.34,0,23.34
#0000867,8756,1,GLCT012-BLK-S,15,0,15,2.5,12.5
#0000868,1549,1,GMST039-BK-S,24,0,24,4,20
#0000868,1549,1,GMST034-BK/WH-S,16,0,16,2.67,13.33
#0000869,6184,1,GMTK1978-BK-L,19.65,0,19.65,0,19.65
#0000870,2172,1,GLUW003-BK-M,18,0,18,3,15
#0000871,7685,1,GLLG058-CH/DP-S,8.41,0.84,7.57,0,7.57
#0000871,7685,1,GLLG058-DT/IB-S,8.41,0.84,7.57,0,7.57
#0000874,3223,1,GMHD015-BK-L,33.15,0,33.15,0,33.15
#0000874,3223,1,GMJG021-BK-M,36.16,0,36.16,0,36.16
#0000875,3064,1,GLLG1828-BK-XS,45,6.75,38.25,6.37,31.88
#0000875,3064,1,GLCT020-BK-XS,35,5.25,29.75,4.96,24.79
#0000877,7771,1,GMTK008-GLM-S,26,0,26,4.33,21.67
#0000877,7771,1,GLLG004-BKM/CH-XS,32,0,32,5.33,26.67
#0000880,6389,1,GLSB017-KH-S,31.75,1.85,29.9,4.98,24.92
#0000880,6389,1,GLLG043-KH-S,44.11,2.57,41.54,6.92,34.62
#0000884,499,1,GMST034-BK-L,14.26,,14.26,0,14.26
#0000884,499,1,GMST034-CHM-L,14.26,,14.26,0,14.26
#0000887,8353,1,GLSB3266-BK/CH/BK-M,22.99,0,22.99,4.6,18.39
#0000887,8353,1,GLLG028-BK/CH/BK-M,34.49,0,34.49,6.9,27.59
#0000888,7066,1,GLLG043-BK-S,35.82,0,35.82,0,35.82
#0000888,7066,1,GLCT009-BKM-M,28.66,0,28.66,0,28.66
#0000889,8779,1,GMSH031-BK-XXL,25.76,0,25.76,0,25.76
#0000889,8779,1,GMHD028-BK-XL,32.2,0,32.2,0,32.2
#0000889,8779,1,GMST020-DBM-XL,31.48,0,31.48,0,31.48
#0000889,8779,1,GMJG021-BK-XXL,34.34,0,34.34,0,34.34
#0000890,5749,1,GLSH019-BSNM-L,26.82,2.68,24.14,0,24.14
#0000890,5749,1,GLSB033-BK-L,26.82,2.68,24.14,0,24.14
#0000892,6086,1,GLLG062-BK-S,48.27,0,48.27,8.05,40.22
#0000893,4290,1,GMJG035-FLG-S,56.5,0,56.5,11.3,45.2
#0000895,1442,1,GLLG058-BKM/CH-S,0,0,0,0,0
#0000898,4652,1,GLLG043-BK-M,40,0,40,6.67,33.33
#0000900,2970,1,GLLG1828-BK-S,47.65,0,47.65,7.94,39.71
#0000901,9812,1,GLST2057-CH/ST-S,12,0,12,2,10
#0000901,9812,1,GMJG029-AEB-M,27.2,0,27.2,4.53,22.67
#0000901,9812,1,GMJG029-GLM-M,20.4,0,20.4,3.4,17
#0000902,6905,1,GHL-HARL-M,26.68,0,26.68,0,26.68
#0000902,6905,1,GHT-HARL-M,23.34,0,23.34,0,23.34
#0000903,6270,1,GMJG021-BK-L,35.98,0,35.98,0,35.98
#0000906,5108,1,GLLG076-DPL-S,28,0,28,4.67,23.33
#0000906,5108,1,GLLG076-GL-S,28,0,28,4.67,23.33
#0000909,300,1,GMJG029-BK-M,23.8,0,23.8,3.97,19.83
#0000912,8941,1,GLLT018-SPM-XS,33.91,0,33.91,5.41,28.5
#0000912,8941,1,GLLG017-BKM-XS,42.84,0,42.84,6.84,36
#0000913,599,1,GLLG039-BK-S,42.21,0,42.21,6.74,35.47
#0000915,4073,1,GMSH006-GLM-L,17.5,0,17.5,3.5,14
#0000916,5777,1,GWAL-CEC-XS,10.33,0,10.33,1.72,8.61
#0000916,5777,1,GWAL-CHC-XS,10.34,0,10.34,1.72,8.62
#0000917,8660,1,GLLG049-PW-S,19.73,0,19.73,0,19.73
#0000917,8660,1,GLLG021-BK/GL-S,16.7,0,16.7,0,16.7
#0000920,1230,1,GLSB017-PW-XS,14.81,1.48,13.33,0,13.33
#0000920,1230,1,GLLG028-CH/PW-S,14.03,1.4,12.63,0,12.63
#0000922,6906,1,GLLG012-BK-M,38.92,,36.97,0,36.97
#0000922,6906,1,GLLG012-CHM-M,38.92,,36.97,0,36.97
#0000922,6906,1,GLSB012-BK-S,22.7,,21.57,0,21.57
#0000923,254,1,GMSH024-BK-XL,19.12,0,19.12,0,19.12
#0000923,254,1,GMTK027-SMGM-L,19.12,0,19.12,0,19.12
#0000923,254,1,GMLT3257-CGR-L,13.77,0,13.77,0,13.77
#0000923,254,1,GMST034-BK/WH-XL,11.47,0,11.47,0,11.47
#0000925,4936,1,GLLG1829-MAB-S,36.62,0,36.62,0,36.62
#0000925,4936,1,GLCT1846-MAB-M,25.85,0,25.85,0,25.85
#0000925,4936,1,GLPO3355-MAB-S,25.85,0,25.85,0,25.85
#0000928,7548,1,GLLG014-BK-S,0,0,0,0,0
#0000929,7771,1,GLLG033-SLG-XS,34,4.08,29.92,4.99,24.93
#0000929,7771,1,GLCT015-BK-XS,16,1.92,14.08,2.35,11.73
#0000931,3135,1,GMSH027-CHM-M,23.93,0,23.93,2.18,21.75
#0000931,3135,1,GMTK030-BK-M,17.31,0,17.31,1.57,15.74
#0000931,3135,1,GMST037-PT-M,20.96,0,20.96,1.91,19.05
#0000931,3135,1,GMST1996-DBR-M,20.5,0,20.5,1.86,18.64
#0000933,6576,1,GLLG012-PL-S,38.77,0,38.77,0,38.77
#0000933,6576,1,GLLG004-BBM/PL-S,35.54,0,35.54,0,35.54
#0000933,6576,1,GLVT001-PLM-S,29.07,0,29.07,0,29.07
#0000933,6576,1,GLVT008-PL-S,21,0,21,0,21
#0000934,818,1,GLLG1837-CHM-S,34.24,0,34.24,0,34.24
#0000934,818,1,GLCT1852-CHM-M,26.63,0,26.63,0,26.63
#0000937,5,1,GMSH006-BK-M,21.13,0,21.13,0,21.13
#0000937,5,1,GMHD025-BK-L,49.05,0,49.05,0,49.05
#0000937,5,1,GMLG013-BK-M,41.5,0,41.5,0,41.5
#0000938,3058,1,GLLG079-IND-XS,38,0,38,6.33,31.67
#0000941,7780,1,GLCT009-BKM-L,15,0,15,2.5,12.5
#0000941,7780,1,GLCT009-SFG-XS,15,0,15,2.5,12.5
#0000943,2318,1,GLLG044-BT-M,40.2,0,40.2,0,40.2
#0000943,2318,1,GLCT004-BT-M,24.41,0,24.41,0,24.41
#0000946,6603,1,GMB002-BK/WH-L,14.5,0,14.5,2.42,12.08
#0000948,6886,1,GLLG012-RP-S,16.67,0,16.67,0,16.67
#0000948,6886,1,GLLG033-BK-S,15.91,0,15.91,0,15.91
#0000949,181,1,GLZT002-WH-XS,35.47,,35.47,0,35.47
#0000949,181,1,GLLG011-BK-XS,17.73,,17.73,0,17.73
#0000949,181,1,GLVT016-PTQ-XS,21.59,,21.59,0,21.59
#0000949,181,1,GLVT018-BK-XS,27.76,,27.76,0,27.76
#0000949,181,1,GLVT018-WH-XS,27.76,,27.76,0,27.76
#0000950,5960,1,GWAL-CHC-M,24.99,0,24.99,4.17,20.83
#0000950,5960,1,GWHCT-HARL-M,19.99,0,19.99,3.33,16.66
